text,label
"**หัวใจที่เต้นแรงและรอยยิ้มที่ค้างอยู่**  

บางครั้ง...ชีวิตก็มอบของขวัญที่เราไม่เคยคาดคิด  
เหมือนแสงแดดอุ่นๆ ในวันที่ฟ้ามืดครึ้ม  
เหมือนดอกไม้บานกลางทางเดินที่เราคิดว่าเป็นเพียงเส้นทางธรรมดา  

เธอเข้ามาแบบนั้นแหละ...  
โดยไม่มีสัญญาณเตือน ไม่มีการบอกกล่าว  
แค่คำพูดธรรมดาๆ, รอยยิ้มที่ไม่ต้องเสแสร้ง  
แล้วทันใดนั้น ความเหงาที่เคยชินก็กลายเป็นความอบอุ่น  
ความว่างเปล่าที่เคยมี ก็ถูก",sentiment
"**""เฮ้ย...นี่มันสุดยอดไปเลย!** เพิ่งดูหนังเรื่องนี้จบ หัวใจยังเต้นแรงไม่หยุด 😲 ตั้งแต่ต้นจนจบมีแต่เซอร์ไพรส์แบบที่คาดไม่ถึงจริงๆ ใครจะไปคิดละว่าทุกอย่างจะพลิกผันแบบนี้...บางฉากนี่ถึงกับอ้าปากค้าง ตื่นเต้นจนลืมหายใจ! ถ้ายังไม่ได้ดู ต้องรีบดูแล้วนะ เพราะเรื่องนี้นอกจากจะเด็ดแล้ว ยังทิ้งความประหลาดใจไว้ให้คิดตามอีกนานเลย 💫 #หนังที่ต้องดู #เซอร์ไพร",sentiment
"""วันนี้เรียนสนุกมากเลยค่ะ! อาจารย์สอนเรื่องใหม่ที่เข้าใจง่าย แถมเพื่อนๆ ในกลุ่มก็ช่วยกันติวจนทำแบบฝึกหัดได้ทุกข้อ รู้สึกมีความสุขทุกครั้งที่เข้าใจบทเรียนแบบนี้ อยากให้ทุกวันเป็นวันเรียนแบบจัง~ ✨"" 

(ใช้ภาษาพูดที่เป็นธรรมชาติ มีอารมณ์ร่าเริงชัดเจน พร้อมอีโมจิเสริมความรู้สึก)",sentiment
"**""นี่มัน...ฝันไปหรือเปล่านะ?""**  

ฉันยืนตะลึงอยู่กลางทางเดินที่คดเคี้ยวของตลาดโบราณ กลิ่นเครื่องเทศหอมกรุ่นผสมกับเสียงผู้คนต่างภาษาดังกระหึ่มรอบตัว แสงแดดยามบ่ายสาดผ่านหลังคาสานเป็นลายแสงทองบนพื้นหินเก่าๆ ทุกอย่างช่างต่างจากที่คิดไว้เหลือเกิน...  

แค่เมื่อเช้ายังนั่งจิบกาแฟในออฟฟิศเย็นๆ ใจหนึ่งก็แอบหวังว่าจะได้พักบ้าง แต่ไม่คิดเลยว่าการตัดสินใจแบบฉ",sentiment
"""เงินเดือนออกเมื่อวาน...แต่พอมองดูยอดในบัญชีก็แทบจะร้องไห้ ค่าใช้จ่ายแต่ละเดือนมันมากจนเก็บอะไรไม่ค่อยได้เลย แม้จะทำงานหนักแค่ไหนก็รู้สึกว่ายังไม่พอเสียที...""  

*ถอนใจยาว* ""บางทีก็เหนื่อยใจนะ ตั้งใจประหยัดขนาดนี้แล้ว แต่ทำไมเงินถึงหมดไปเร็วเหลือเกิน คิดถึงอนาคตข้างหน้าก็เริ่มท้อ...""",sentiment
"**""สังคม...มันช่างน่าประหลาดใจเหลือเกิน**  

บางครั้งเราก็คิดว่าเข้าใจมันดีแล้ว แต่พอเหลียวมองอีกที กลับพบว่ามันซับซ้อนและคาดเดาไม่ได้ราวกับภาพลวงตา ที่มองใกล้ก็เป็นอย่างหนึ่ง มองไกลก็เปลี่ยนไป คนที่ดูเหมือนจะห่างเหิน อาจมีน้ำใจซ่อนอยู่เต็มเปี่ยม ส่วนคนที่ยิ้มแย้มแจ่มใส บางทีก็เก็บความทุกข์ไว้ลึกจนไม่มีใครเห็น  

และแล้ววันหนึ่ง เราก็ตื่นขึ้นมาพบว่า สังคมนี้เต็มไปด้วยเรื่องราวที่เรา",sentiment
"**""เสียงเพลงนั้นแผ่วเบา แต่กลับก้องกังวานในใจราวกับคำขู่กระซิบ...ทุกจังหวะที่ตกลงมาเหมือนฝีเท้าของใครสักคนที่ค่อยๆ ย่างเข้ามาใกล้ ท่วงทำนองที่เคยไพเราะกลับบิดเบี้ยวเป็นเสียงครวญครางที่น่าสะพรึงกลัว มือของฉันสั่นเมื่อต้องสัมผัสเครื่องดนตรี เพราะไม่รู้ว่าคราวนี้ เสียงเพลงจะพาฉันไปเจอกับอะไร...บางที ในความเงียบอาจปลอดภัยกว่าการได้ยินสิ่งที่ไม่อยากฟัง""",sentiment
"**""บางครั้ง... ความฝันก็เหมือนสายลมที่คอยยั่วเย้าให้เราตามหา**  

แต่แล้ววันหนึ่ง มันกลับปรากฏขึ้นตรงหน้าแบบไม่ทันตั้งตัว...  

เหมือนโลกทั้งใบหยุดหมุน แสงแดดสาดส่องผ่านเมฆหนาทึบ  
หัวใจเต้นรัวราวกับจะแตกออกจากอก  

นี่คือความจริงหรือ? หรือแค่เพียงภาพลวงตาที่สมองสร้างขึ้นมาเพื่อปลอบประโลมใจ?  

แต่ความรู้สึกนี้... มันชัดเจนเหลือเกิน  
เหมือนดอกไม้ผลิบานในทุ่งหิมะ ราวกับเสียงเพลงที่",sentiment
"**""วันนี้ฉันรู้สึกอายมากเลย... ทีมเราซ้อมกันมาอย่างหนัก แต่พอถึงวันแข่งจริง ฉันกลับทำพลาดจนทีมแพ้ เพื่อนๆคงผิดหวังในตัวฉันแน่ๆ ไม่อยากเจอใครเลย...""**  

*(ข้อความนี้สื่อถึงความรู้สึก *shame* หรือความอับอายอย่างชัดเจน โดยแสดงผ่านการยอมรับความผิดพลาด ความกังวลต่อสายตาคนรอบข้าง และความต้องการหลบหนีจากสถานการณ์)*",sentiment
"**หัวใจที่เต้นแรง...ก็เพื่อสุขภาพที่ดีของเธอ**  

ทุกครั้งที่เห็นเธอดูแลตัวเอง ฉันรู้สึกเหมือนได้เห็นความรักรูปแบบหนึ่งที่งดงามที่สุด—ความรักที่มีต่อร่างกายและจิตใจของตัวเองเอง เสียงฝีเท้าเบาๆ เวลาเธอออกไปวิ่งตอนเช้า กลิ่นสมุนไพรจากชาสุขภาพที่เธอดื่ม แม้แต่ความตั้งใจเมื่อเธอเลือกอาหารที่มีประโยชน์...ทุกสิ่งเหล่านั้นทำให้ฉันยิ้มได้  

เพราะการที่เธอรักสุขภาพ ไม่ใช่แค่การมีชีวิตที่นานขึ้น แต่คือการที่เราจะได้ใช้เวลาร่วมกันอย่าง",sentiment
"""วันนี้เดินผ่านสวนสาธารณะแล้วรู้สึกดีจังเลยค่ะ! 🌿🌼 ต้นไม้เขียวขจี อากาศสดชื่น นกๆ ร้องเพลงเพราะๆ เหมือนธรรมชาติกำลังยิ้มให้เราอยู่เลย แถมเห็นเด็กๆ วิ่งเล่นกันอย่างสนุกสนานด้วยนะ รู้สึกว่าถ้าเราช่วยกันรักษาสิ่งแวดล้อมแบบนี้ต่อไป โลกของเราต้องน่าอยู่ขึ้นแน่นอน! 💚""  

(ข้อความนี้แสดงอารมณ์สุขใจผ่านการบรรยายภาพธรรมชาติที่สดใส มีการใช้ภาษาที่กระชับ เป็นกันเอง พร้อมอีโม",sentiment
"**""ดนตรี...เหมือนลมหายใจที่ค่อยๆ โอบกอดหัวใจให้อุ่นไว้ในยามเหงา เสียงเพลงคือภาษาที่ไม่ต้องมีคำพูด แต่กลับบอกความรู้สึกได้มากกว่าสิ่งใด บางทีแค่โน้ตตัวเดียวก็ทำให้เราหวนคิดถึงใครสักคน หรือบางท่วงทำนองก็พาให้ใจลอยไปถึงความทรงจำเก่าๆ ที่เก็บไว้อย่างดี  

ทุกครั้งที่ได้ฟังเพลงโปรด โลกทั้งใบเหมือนหยุดหมุน แค่ฉันกับเสียงเพลงที่คุ้นเคย...มันเป็นความรู้สึกพิเศษที่ยากจะอธิบาย ดนตรีไม่",sentiment
"**หัวใจที่สั่นระงมกับแผ่นดินร้าว**  

ลมหายใจของโลกเริ่มถี่ขึ้นทุกที...เหมือนจะขาดช่วงลงกลางอากาศที่เต็มไปด้วยฝุ่นพิษ ฉันยืนอยู่ตรงนี้ ใต้ท้องฟ้าที่เคยสดใส แต่ตอนนี้กลับขมุกขมัวไปด้วยควันดำจากโรงงาน เหมือนมีมือบางอย่างกำลังบีบคอเราไว้อย่างช้าๆ  

ต้นไม้ที่เคยยืนตระหง่าน ตอนนี้ล้มลงเป็นทิวแถว ดินที่เคยอุดม กลายเป็นผืนทรายแห้งแล้ง ทุกครั้งที่ได้ยินเสียงน้ำซัด",sentiment
"""เงินเดือนออกมาเมื่อวาน...แต่พอจ่ายค่าหอ ค่าน้ำ ค่าไฟ แล้วก็แทบไม่เหลืออะไรเลย นี่ขนาดประหยัดสุดๆแล้วนะ รู้สึกเหมือนทำงานไปวันๆ แต่ชีวิตไม่เคยไปไหนสักที...""  

*ถอนใจ* ""บางทีก็เหนื่อยใจนะ แบกรับค่าใช้จ่ายทุกอย่างคนเดียว บางเดือนถึงกับต้องกินมาม่าเกือบทุกวัน พอเห็นเพื่อนๆเขามีบ้าน มีรถ ใช้ชีวิตสบายๆ ก็น้ำตาจะไหล...เราเองก็พยายามเต็มที่แล้ว แต่ทำไมมันยากจัง""  

""เก็บเงินตั้งหลายปี",sentiment
"""บางวัน...ฉันก็แค่อยากกลับไปเป็นเด็กตัวเล็กๆ ที่วิ่งโผเข้ากอดพ่อแม่โดยไม่ต้องคิดอะไร  
ตอนนี้ทุกอย่างเปลี่ยนไปเหลือเกิน ครอบครัวที่เคยอบอุ่นเหมือนบ้าน กลับรู้สึกห่างเหินและเงียบงัน  

บางทีฉันก็ถามตัวเองว่าเราทำอะไรผิดไปหรือเปล่า?  
ทำไมโตขึ้นมาแล้ว ความสัมพันธ์ถึงได้อ่อนล้าและเต็มไปด้วยความเงียบ...  

ค่ำคืนแบบนี้ทำให้คิดถึงเสียงหัวเราะเก่าๆ ที่เคยดังก้องอยู่ในบ้าน  
ตอนนี้เหลือเพียงความทรงจำ และความรู้สึกว่าบางอย่างมันซ่อม",sentiment
"""โอ้โห! ทนไม่ไหวแล้วว่ะ! ทำไมค่าครองชีพมันพุ่งสูงแบบนี้ ไม่เห็นมีใครเหลียวแลประชาชนบ้างเลย น้ำมันแพง อาหารแพง ค่าไฟก็ขึ้นอีก แล้วเงินเดือนเรามันอยู่ที่เดิมมานานเท่าไหร่แล้วนะ?! รัฐบาลนี่สมควรแล้วจริงๆ ที่จะโดนด่า ประกาศช่วยเหลือโน่นนี่ แต่สุดท้ายประชาชนตัวเล็กๆ อย่างเราได้อะไรบ้าง?! แค่คิดก็เลือดเดือด!""  

*เสียงดังและน้ำเสียงกระแทก*",sentiment
"**หัวใจที่เต้นเป็นจังหวะเดียวกัน**  

บางครั้ง...โลกกว้างใหญ่ก็รู้สึกแคบลง เมื่อมีใครสักคนที่เข้าใจเราโดยไม่ต้องพูด ความอบอุ่นของมิตรภาพเหมือนแสงแรกของวันใหม่ ที่ค่อยๆ ละลายความเหน็บหนาวในใจ ให้กลายเป็นรอยยิ้มเล็กๆ ที่ซ่อนอยู่ในทุกช่วงเวลาที่เราผ่านไปด้วยกัน  

มิตรภาพคือความรักรูปแบบหนึ่งที่บริสุทธิ์และเงียบสงบ ไม่ต้องอาศัยคำสัญญาใหญ่โต แค่การได้อยู่ตรงนั้นในวันที่อีกฝ่ายต้องการ ก็เหมือนดวงดาวที่ส่องแสงให้กัน",sentiment
"**""โลกใบนี้...ยังมีสิ่งมหัศจรรย์ที่ทำให้เราต้องหยุดและทึ่งอยู่เสมอ 🌍✨**  

เมื่อได้เห็นภาพท้องฟ้าสีครามที่ปราศจากมลพิษในช่วงล็อกดาวน์ น้ำในคลองที่กลับมาสะอาดจนมองเห็นฝูงปลาแหวกว่าย หรือแม้แต่ผืนป่าที่ค่อยๆ ฟื้นตัวหลังจากถูกทิ้งร้าง...มันทำให้ใจสั่นไหวเหลือเกิน  

ธรรมชาติไม่เคยยอมแพ้ แม้มนุษย์จะทำร้ายเธอมากเพียงใด เธอยังคงให้โอกาสเราอยู่เส",sentiment
"""ว้าว! วันนี้สนุกสุดๆไปเลยค่ะ ได้ออกไปเล่นแบดมินตันกับเพื่อนๆ ทั้งเหนื่อยทั้งเหงื่อแต่รู้สึกแฮปปี้มากกก 🥰 ตีลูกโต้กันไปมาเสียงหัวเราะไม่หยุด แถมตอนท้ายยังทำคะแนนชนะด้วยนะ รู้สึกแบบนี้ทุกทีที่ได้เล่นกีฬาจริงๆ! พรุ่งนี้ต้องจัดอีกแน่นอน 💪🏸 #ความสุขง่ายๆแค่ขยับตัว #กีฬาทำให้ชีวิตสดใส""  

(ข้อความนี้สื่ออารมณ์ happy ผ่านการเล",sentiment
"**หัวใจที่เต้นเป็นจังหวะเธอ**  

บางครั้งความรักก็เหมือนแสงแรกของวัน... อุ่นละมุนแต่แฝงไปด้วยความหวังที่ไม่รู้จบ ทุกครั้งที่ได้มองตาเธอ ฉันรู้สึกเหมือนโลกหยุดหมุนไปชั่วขณะ เวลาที่หายใจร่วมกัน ความอบอุ่นนั้นแผ่ซ่านจนแทบจะจับต้องได้  

มือของเธอที่โอบกอดฉันไว้ในวันที่เหนื่อยล้า คือบ้านหลังเดียวที่ทำให้ฉันรู้สึกปลอดภัย เสียงหัวเราะของเธอคือบทเพลงที่ทำให้ทุกวันธรรมดากลายเป็นช่วงเวลาพิเศษ ฉัน",sentiment
"**""ขอบคุณมากๆ เลยนะคะที่ช่วยกันทำงานนี้จนสำเร็จ ทุกคนทุ่มเทและช่วยเหลือกันได้อย่างน่าประทับใจจริงๆ 😊🙏 ไม่ว่าจะเป็นช่วงเวลาที่เครียดหรือเหนื่อยล้า เราก็ยังร่วมมือกันผ่านมันมาได้ แบบนี้ทำให้รู้สึกว่ามีเพื่อนร่วมงานที่ดีแบบนี้ช่างมีค่าจริงๆ ขอบคุณทุกความตั้งใจและน้ำใจที่มอบให้กันนะคะ งานนี้จะไม่ราบรื่นขนาดนี้เลยถ้าไม่มีทุกคน!""**  

(ข้อความนี้สื่อถึงความรู้สึกขอบคุณอย่างจริงใจ พร้อมกับเน้นการมี",sentiment
"**หัวข้อ: ขอบคุณจากใจ...สำหรับการทำงานร่วมกันที่แสนพิเศษ**  

""ทุกวันที่ได้ทำงานร่วมกับทุกคนเหมือนเป็นของขวัญที่มีค่าจริงๆ ค่ะ ไม่ว่าจะเป็นความช่วยเหลือที่มอบให้กัน ความเข้าใจในวันที่เหนื่อยล้า หรือรอยยิ้มเล็กๆ ที่ทำให้บรรยากาศการทำงานสดชื่นขึ้น...ทั้งหมดนี้ทำให้รู้สึกว่าการมาทำงานแต่ละวันไม่ใช่แค่หน้าที่ แต่คือการได้ใช้เวลาร่วมกับคนเก่งและน่ารักแบบคุณ guys จริงๆ ขอบคุณมากนะคะที่คอยสนับสนุนและเป็นกำลังใจให้กันเสมอ 💖  

แม",sentiment
"""วันนี้เดินผ่านสวนสาธารณะแล้วรู้สึกดีจังเลยค่ะ! 🌿🌼 ต้นไม้เขียวขจี อากาศสดชื่น นกยังร้องเพลงใสๆให้ฟัง เหมือนธรรมชาติกำลังยิ้มให้เราอยู่เลย 💚 ได้เห็นคนมาออกกำลังกาย ยิ้มทักทายกัน มันอบอุ่นใจจริงๆนะ แค่ช่วยกันปลูกต้นไม้เล็กๆ หรือแยกขยะก็ทำให้โลกน่าอยู่ขึ้นแล้ว ลองสังเกตสิคะ ธรรมชาติรอบตัวเราสวยงามเสมอ ถ้าเราช่วยกันดูแล!""  

(ข้อความนี้สื่ออารมณ์สุข",sentiment
"**""มันน่าโมโหสุดๆ เลยนะ! ทุกวันนี้เห็นคนทิ้งขยะเกลื่อนถนน เห็นแม่น้ำที่เคยใสตอนนี้ดำคล้ำเต็มไปด้วยขยะพลาสติก แล้วยังทำเป็นไม่รู้ไม่ชี้อีก! พวกเราใช้ทรัพยากรแบบไม่บันยะบันยัง แถมยังมีคนบางกลุ่มที่คิดว่าเรื่องสิ่งแวดล้อมเป็นเรื่องไกลตัว ไม่เห็นสำคัญอะไร แต่นี่มันคือบ้านของเราทั้งนั้นนะ! ถ้ายังทำแบบนี้ต่อไป ไม่ต้องรอให้โลกพังหรอก เรากำลังทำลายอนาคตลูกหลานตัวเองด้วยมือเรานี่แหละ",sentiment
"**""หนังเรื่องนี้...มันค่อยๆ คลานเข้ามาในใจฉันเหมือนเงามืดที่คืบคลานตามหลัง ฉากแต่ละฉากไม่ใช่แค่ภาพเคลื่อนไหว แต่เป็นลมหายใจร้อนๆ ที่พ่นลงบนต้นคอ ทุกเสียงเพลงประกอบเหมือนก้าวเท้าที่ดังกริบในความเงียบ ฉันรู้สึกตัวสั่นโดยไม่รู้ตัว มือกำเก้าอี้แน่นจนเล็บจิกเข้าไปในเนื้อ รู้ดีว่าเป็นเพียงเรื่องแต่ง แต่ทำไมหัวใจยังเต้นรัวเหมือนจะระเบิดออกมาจากอก...""**  

(ใช้ภาษาที่สื่อความรู้สึกหวาดกลัวผ่าน",sentiment
"**""บางครั้ง...ชีวิตก็มอบของขวัญที่เราไม่เคยคาดหวังไว้ให้อย่างน่าป็นใจ""**  

วันหนึ่งฉันเดินผ่านถนนสายเดิม ใจลอยกับความคิดฟุ้งซ่าน จู่ๆ เสียงเรียกชื่อที่คุ้นเคยก็ดึงฉันกลับสู่ความเป็นจริง **""เฮ้! นี่เธอไง!""** — เสียงนั้นมาจากคนที่ฉันแทบไม่เชื่อว่าจะได้เจออีกครั้ง เพื่อนเก่าจากวันวัยเรียน ผู้ซึ่งเวลาพาเราห่างกันไปคนละทาง  

มือทั้งสองข้างสัมผัสกันในความประหลาดใจ **""นานมากแล้วนะ...""** คำ",sentiment
"""บางทีความฝันก็เหมือนดวงดาวที่ส่องแสงอยู่ไกลๆ แต่มือของเรายังคงเอื้อมไม่ถึง... 

ทุกคืนที่หลับตา เรายังเห็นภาพนั้นชัดเจน แต่ตื่นขึ้นมาก็พบว่า มันยังเป็นเพียงแค่ภาพลวงตาที่จับต้องไม่ได้ 

ทำไมเส้นทางสู่ความฝันถึงต้องเหงาและเหนื่อยขนาดนี้... หรือว่าที่จริงแล้ว บางความฝันก็ไม่ควรจะเป็นจริงเลย?"" 😔💔",sentiment
"**หัวใจที่เต้นเป็นจังหวะงาน**  

ทุกเช้าที่ตื่นมา แสงแรกที่สาดส่องผ่านม่านหน้าต่างเหมือนกระซิบเรียกฉันให้ลุกขึ้นมาทำงานอีกครั้ง ไม่ใช่แค่หน้าที่ แต่เป็นความรักที่ค่อยๆ เติบโตในใจ เหมือนดอกไม้ที่ผลิบานทีละกลีบ  

การพิมพ์แต่ละคำ การคิดแต่ละไอเดีย มันไม่ใช่แค่ตัวหนังสือหรือแผนงาน แต่คือการถักทอความฝันด้วยปลายนิ้ว รู้สึกได้ถึงความอบอุ่นทุกครั้งที่ทีมร่วมมือกัน แม้บางวันจะเหนื่อย ท้อ",sentiment
"""วันนี้ทำงานเสร็จไวมากเลย แถมเจ้านายยังชมว่าทำงานดีอีก! รู้สึกมีกำลังใจขึ้นมาเต็มเปี่ยม 😊 จะรีบกลับบ้านไปบอกแฟนให้รู้ด้วย เฮ้ย...คิดแล้วก็ตื่นเต้น งานนี้ต้องฉลองเล็กๆแน่ๆ!""",sentiment
"**หัวใจที่สั่นระทึกกับแผ่นดินร้าว**  

ลมหายใจของโลกเริ่มถี่ขึ้นทุกวัน...เหมือนจะขาดช่วงในวันที่สายฝนไม่มาเยือน ใบไม้แห้งกรอบใต้เท้าส่งเสียงแตกเหมือนกระดูกที่หักครืน ดินที่เคยอุดมกลับแตกระแหงเป็นรอยแผลที่ไม่มีใครสมาน  

ท้องฟ้าที่เคยสดใส ตอนนี้คล้ายดวงตาที่มืดมิดด้วยควันพิษ ทุกครั้งที่เงยหน้าขึ้นมอง ใจฉันก็หดเกร็งด้วยคำถามว่า ""อากาศ的这一口ต่อไป...จะยังปลอดภัยหรือเปล่า",sentiment
"**""หัวใจเต้นรัวเหมือนกลองศึก...ทุกครั้งที่เห็นข่าวการเมือง**  

สายลมเย็นๆ ที่เคยชื่นใจ กลับพัดมาพร้อมกับความหนาวเหน็บของความไม่แน่นอน เสียงคุยกันกระซิบในวงกาแฟเริ่มแผ่วเบา ทุกคนเหลือบตามองกันอย่างระแวดระวัง เหมือนมีเงาดำคอยกุมขมับไว้เสมอ  

บางวันก็รู้สึกเหมือนเดินอยู่บนเส้นเชือกเหนือเหว การตัดสินใจแต่ละครั้งของคนในอำนาจเหมือนลูกเต๋าที่กลิ้งไปมาโดยไม่มีใครคาดเดาทิศ",sentiment
"**หัวใจที่เต้นเป็นจังหวะเดียวกัน**  

บางครั้งความรักก็เหมือนแสงแรกของวัน... อุ่นละมุนแต่แฝงไปด้วยความหวังที่สดใส มันคือความรู้สึกที่แม้จะเงียบงัน แต่กลับดังอยู่ในหัวใจจนแทบจะได้ยินเสียงหัวใจอีกดวงที่กำลังตอบรับ  

ทุกครั้งที่ได้มองตาเธอ ฉันเห็นทั้งจักรวาลและความสงบในเวลาเดียวกัน เหมือนว่าทุกอณูของเวลาที่เราผ่านมาด้วยกันนั้น ไม่เคยมีคำว่า ""พอ"" เพราะความรักนี้ยังคงเติบโต เหมือนดอกไม้ที่ผลิบานโดย",sentiment
